,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/vram/data/2,/vram/data/3,/vram/load/1,/ram/data/0,/ram/data/1,/ram/load/0,/memory/dimm/1/temperature/0,/memory/dimm/1/temperature/1,/memory/dimm/1/temperature/2,/memory/dimm/1/temperature/3,/memory/dimm/1/temperature/4,/memory/dimm/1/temperature/5,/memory/dimm/1/timing/20,/memory/dimm/1/timing/21,/memory/dimm/1/timing/22,/memory/dimm/1/timing/23,/memory/dimm/1/timing/24,/memory/dimm/1/timing/25,/memory/dimm/1/timing/26,/memory/dimm/1/timing/27,/memory/dimm/1/timing/28,/memory/dimm/1/timing/29,/memory/dimm/1/timing/30,/memory/dimm/1/timing/31,/memory/dimm/1/timing/32,/memory/dimm/1/timing/33,/memory/dimm/1/data/50,/memory/dimm/3/temperature/0,/memory/dimm/3/temperature/1,/memory/dimm/3/temperature/2,/memory/dimm/3/temperature/3,/memory/dimm/3/temperature/4,/memory/dimm/3/temperature/5,/memory/dimm/3/timing/20,/memory/dimm/3/timing/21,/memory/dimm/3/timing/22,/memory/dimm/3/timing/23,/memory/dimm/3/timing/24,/memory/dimm/3/timing/25,/memory/dimm/3/timing/26,/memory/dimm/3/timing/27,/memory/dimm/3/timing/28,/memory/dimm/3/timing/29,/memory/dimm/3/timing/30,/memory/dimm/3/timing/31,/memory/dimm/3/timing/32,/memory/dimm/3/timing/33,/memory/dimm/3/data/50,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","Memory Used","Memory Available","Memory","Memory Used","Memory Available","Memory","DIMM #1","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity","DIMM #3","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
05/28/2026 22:13:17,59,66,0,66,72,68,68,68,68,82,12.12,5.03,1.31000006,1.396,1.054,0.350000024,0.602000058,3.288,2.046,0,3.37200022,3.37200022,3.124,64,51,52.5,49.5,1288,876,0,984,946,0,0,0,0,0,51.47,4.41,2.94,0,1.47,58.82,0,0,14.89,58.82,38.473793,3517,782,5050,2526,50.5,2.32472348,0.525,3182,308,33.6666679,0.4556338,0.525,3023,85,33.6666679,0.167772189,0.525,2966,49,33.6666679,0.127901524,0.525,3031,141,33.6666679,0.265047371,0.525,5050,3063,50.5,2.719791,0.525,2931,41,33.6666679,0.107482657,0.525,2904,40,33.6666679,0.1013133,0.525,64.75001,59.1250038,99.99826,29.4215775,7.45918655,79.77486,10.9616318,3.91913223,73.6631,45,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,44.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,56,1.05500007,1.30500007,0,6,16,48,2850,10451.9824,1051,1051,32,32,0,0,0,0,19.942,21.794,1.09,12583.4648,427.597656,1.61279464,0,0,0,0.009898901,0,0,0,0,0,0.7407319,0,0,0,59.28125,60,16376,3491,12884,78.67621,69.675,599040,349184
05/28/2026 22:13:19,60,66,0,67,73,70,70,70,70,83,12.144001,5.04,1.312,1.396,1.04000008,0.34800002,0.602000058,3.288,2.046,0,3.37600017,3.37600017,3.124,65,51,52.5,50,1317,844,0,995,923,0,0,0,0,0,45.45,16.67,7.58,4.55,9.09,69.7,4.55,7.58,20.64,69.7,41.6152954,4166,1013,5050,2099,50.5,2.04525375,0.51875,4040,943,40.4,1.30806589,0.51875,4040,401,40.4,0.662426233,0.51875,4040,269,40.4,0.4803454,0.51875,4040,499,40.4,0.7803738,0.51875,4040,3244,40.4,2.74744964,0.51875,4040,325,40.4,0.5492184,0.51875,4040,323,40.4,0.5204512,0.51875,65.75001,67,99.9982452,27.9303551,8.950409,75.7315,10.9940605,3.88670349,73.88102,45,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,44.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,0.969000041,1.30500007,0,3,16,47,2670,10451.9824,1048,1049,31,31,17,2,0,8,16.957,18.365,0.975,11445.5625,455.4414,0.613863766,0,0,0,1.841384,0,0,0,0,0,5.67549133,0,0,0,58.3125,58,16376,4629,11746,71.72756,48.22,499712,349184
05/28/2026 22:13:21,61,66,0,67,73,72,72,72,72,85,12.12,5.03,1.312,1.396,1.034,0.352000028,0.602000058,3.288,2.046,0,3.37600017,3.37600017,3.124,66,51,52.5,49.5,1334,844,0,1013,956,0,0,0,0,0,65.62,29.69,3.12,1.56,9.38,37.5,1.56,1.56,18.75,65.62,41.6280823,3542,990,3233,2945,32.3333321,2.82114077,0.625,4850,1190,48.5,1.7716496,0.625,3115,429,32.3333321,0.9482292,0.625,3057,259,32.3333321,0.708345056,0.625,3123,582,32.3333321,1.17057168,0.625,4850,2167,48.5,2.2917273,0.625,3040,187,32.3333321,0.6178949,0.625,3066,165,32.3333321,0.5838569,0.625,65.87501,54.1250038,99.9982452,29.561573,7.319191,80.15445,10.93726,3.94350433,73.49931,45,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,44.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,56,1.079,1.30500007,0,14,16,51,2850,10451.9824,1041,1041,31,31,50,40,0,0,57.542,51.72,1.09,13245.8125,429.363281,29.9083939,0,0,0,1.96649349,0,0,0,0,0,4.851997,0,0,0,59.34375,60,16376,2829,13546,82.72006,83.28,1.9379497E+09,3.654963E+07
05/28/2026 22:13:23,62,66,0,68,74,70,70,70,70,82,12.12,5.04,1.312,1.396,1.016,0.352000028,0.604000032,3.288,2.046,0,3.37600017,3.37600017,3.124,64,51.5,52.5,49.5,1357,877,0,1019,941,0,0,0,0,0,32.81,14.06,3.12,12.5,20.31,35.94,1.56,1.56,15.23,35.94,39.8046379,4105,870,5050,1770,50.5,2.10290885,0.54375,4040,1121,40.4,1.67436111,0.54375,4003,508,40.4,1.13744557,0.54375,3937,369,40.4,1.01190889,0.54375,4039,733,40.4,1.33879662,0.54375,4040,1998,40.4,2.09581685,0.54375,3852,229,40.4,0.859141767,0.54375,3878,228,40.4,0.841862,0.54375,63.7500076,54.5000038,99.99826,29.5265617,7.35420227,80.05952,10.900238,3.980526,73.25053,45,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,44.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,56,0.965000033,1.30500007,0,7,16,53,2850,10451.9824,1030,1029,31,31,71,58,0,1,60.805,59.908,1.09,13246.2852,430.144531,65.02503,0,0,0,0.0272117015,0,0,0,0,0,0.0277049951,0,0,0,61.28125,64,16376,2829,13546,82.72295,171.306,225849344,9.099981E+07
05/28/2026 22:13:25,60,66,0,67,73,66,66,66,66,80,12.12,5.03,1.31000006,1.396,1.016,0.36,0.604000032,3.288,2.046,0,3.37600017,3.37200022,3.124,62,51,52.5,49.5,1328,844,0,998,969,0,0,0,0,0,22.22,17.46,6.25,3.17,11.11,44.44,1.56,3.12,13.67,44.44,39.619278,4250,872,4850,1742,48.5,2.06572866,0.625,4850,1092,48.5,1.68727565,0.625,4751,532,48.5,1.15490258,0.6375,3870,336,40.4,0.9901728,0.61875,3940,685,40.4,1.30856264,0.61875,4040,2129,40.4,2.139701,0.61875,3830,224,40.4,0.869777739,0.61875,3872,237,40.4,0.86692065,0.51875,61.8750076,54.1250038,99.99827,29.3113365,7.56942749,79.4759445,10.8404121,4.040352,72.8484955,45,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,44.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,56,1.079,1.30500007,0,10,16,54,2850,10451.9824,1025,1024,31,31,70,58,0,0,60.147,59.547,1.09,13246.2773,427.9375,65.29857,0,0,0,0.03617875,0,0,0,0,0,0,0,0,0,61.625,64,16376,2829,13546,82.72295,171.057,9.79497E+07,26799104
05/28/2026 22:13:27,59,66,0,66,72,63,63,63,63,78,12.12,5.03,1.312,1.396,1.016,0.350000024,0.602000058,3.288,2.046,0,3.37200022,3.37200022,3.12000012,61,51.5,52.5,49.5,1320,844,0,1002,967,0,0,0,0,0,29.69,7.81,9.38,9.38,7.81,21.88,0,3.12,11.13,29.69,39.64947,4168,849,4850,1681,48.5,1.95449185,0.63125,4850,1067,48.5,1.60701144,0.63125,4720,522,48.5,1.15691638,0.63125,3132,371,32.3333321,0.999023259,0.63125,4745,700,48.5,1.28300917,0.63125,4850,1976,48.5,2.0015924,0.63125,3063,229,32.3333321,0.860211551,0.63125,3132,247,32.3333321,0.844478965,0.63125,60.7500076,53.6250038,99.9982758,29.2749748,7.605789,79.37735,10.812088,4.068676,72.65815,45,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,44.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,56,0.974000037,1.30500007,0,6,16,53,2850,10451.9824,1021,1022,31,31,70,57,0,1,59.708,62.099,1.09,13246.2773,427.9375,65.47863,0,0,0,0.0308176763,0,0,0,0,0,0,0,0,0,61.78125,64,16376,2829,13546,82.72295,170.125,227799040,6.554931E+07
05/28/2026 22:13:29,58,66,0,65,71,61,61,61,61,76,12.12,5.04,1.312,1.396,1.01,0.352000028,0.602000058,3.288,2.046,0,3.37600017,3.37600017,3.124,60,51.5,52.5,49.5,1287,875,0,984,928,0,0,0,0,0,28.12,23.44,10.94,7.81,12.5,34.38,3.12,4.69,15.62,34.38,39.59827,3572,840,4850,1641,48.5,1.91125929,0.525,3233,1042,32.3333321,1.579255,0.525,3153,488,32.3333321,1.12421227,0.525,3125,357,32.3333321,0.99469167,0.525,3180,738,32.3333321,1.33121765,0.525,4850,1978,48.5,2.06004524,0.525,3065,226,32.3333321,0.8501606,0.525,3122,254,32.3333321,0.8640967,0.525,59.8750076,53.6250038,99.99827,29.3055267,7.57523727,79.46019,10.8382,4.04256439,72.8336258,45,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,44.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,56,1.069,1.30500007,0,12,16,53,2850,10451.9824,1021,1021,31,31,70,57,0,1,59.955,64.106,1.09,13246.2773,427.9375,65.5905762,0,0,0,0.0317784473,0,0,0,0,0,0,0,0,0,61.875,66,16376,2829,13546,82.72295,171.306,258799616,8.599962E+07
05/28/2026 22:13:31,57,66,0,64,70,60,60,60,60,75,12.12,5.03,1.312,1.396,1.01200008,0.34800002,0.604000032,3.288,2.046,0,3.37600017,3.37600017,3.124,59,51,52.5,49.5,1276,844,0,986,936,0,0,0,0,0,29.69,25,9.38,6.25,12.5,48.44,6.25,3.12,17.58,48.44,40.6829262,4088,926,5050,1836,50.5,2.17691922,0.50625,4040,1192,40.4,1.81360006,0.50625,3946,535,40.4,1.19393289,0.50625,3896,372,40.4,1.03228915,0.50625,4004,765,40.4,1.40044272,0.50625,4040,2185,40.4,2.26272082,0.50625,3850,262,40.4,0.924720466,0.50625,3882,265,40.4,0.90786314,0.50625,59.6250076,54.1250038,99.99827,29.3045921,7.576172,79.45766,10.8412819,4.039482,72.85434,45,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,44.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,56,0.974000037,1.30500007,0,4,17,54,2835,10451.9824,1020,1021,31,31,74,60,0,1,62.584,58.007,1.09,13246.2773,427.9375,65.89698,0,0,0,0.0293482263,0,0,0,0,0,0,0,0,0,62.125,66,16376,2829,13546,82.72295,172.605,248749056,6.749901E+07
05/28/2026 22:13:33,56,66,0,63,69,60,60,60,60,75,12.12,5.03,1.312,1.396,1.018,0.354,0.604000032,3.28400016,2.046,0,3.37600017,3.37600017,3.124,59,51.5,52.5,50,1252,843,0,969,921,0,0,0,0,0,28.12,15.62,7.81,12.5,12.5,42.19,3.08,3.08,15.61,42.19,40.3387566,4088,908,5050,1791,50.5,2.13375187,0.50625,4040,1176,40.4,1.78408968,0.50625,3964,515,40.4,1.1723398,0.525,3869,349,40.4,1.00822258,0.525,4023,801,40.4,1.41010535,0.525,4040,2192,40.4,2.31786871,0.525,3870,226,40.4,0.888627231,0.525,3851,218,40.4,0.867389143,0.525,59.1250076,53.6250038,99.99826,29.2749634,7.60580063,79.37732,10.8146935,4.06607056,72.67566,45,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,44.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,56,0.969000041,1.30500007,0,5,16,55,2835,10451.9824,1022,1019,31,31,72,55,0,1,61.774,55.77,1.09,13246.2773,427.9375,65.58908,0,0,0,0.03108184,0,0,0,0,0,0,0,0,0,63.375,66,16376,2829,13546,82.72295,174.747,142149632,8.889958E+07
