,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/vram/data/2,/vram/data/3,/vram/load/1,/ram/data/0,/ram/data/1,/ram/load/0,/memory/dimm/1/temperature/0,/memory/dimm/1/temperature/1,/memory/dimm/1/temperature/2,/memory/dimm/1/temperature/3,/memory/dimm/1/temperature/4,/memory/dimm/1/temperature/5,/memory/dimm/1/timing/20,/memory/dimm/1/timing/21,/memory/dimm/1/timing/22,/memory/dimm/1/timing/23,/memory/dimm/1/timing/24,/memory/dimm/1/timing/25,/memory/dimm/1/timing/26,/memory/dimm/1/timing/27,/memory/dimm/1/timing/28,/memory/dimm/1/timing/29,/memory/dimm/1/timing/30,/memory/dimm/1/timing/31,/memory/dimm/1/timing/32,/memory/dimm/1/timing/33,/memory/dimm/1/data/50,/memory/dimm/3/temperature/0,/memory/dimm/3/temperature/1,/memory/dimm/3/temperature/2,/memory/dimm/3/temperature/3,/memory/dimm/3/temperature/4,/memory/dimm/3/temperature/5,/memory/dimm/3/timing/20,/memory/dimm/3/timing/21,/memory/dimm/3/timing/22,/memory/dimm/3/timing/23,/memory/dimm/3/timing/24,/memory/dimm/3/timing/25,/memory/dimm/3/timing/26,/memory/dimm/3/timing/27,/memory/dimm/3/timing/28,/memory/dimm/3/timing/29,/memory/dimm/3/timing/30,/memory/dimm/3/timing/31,/memory/dimm/3/timing/32,/memory/dimm/3/timing/33,/memory/dimm/3/data/50,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","Memory Used","Memory Available","Memory","Memory Used","Memory Available","Memory","DIMM #1","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity","DIMM #3","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
05/28/2026 14:36:18,46,54,0,52,56,68,68,68,68,87,12.144001,5.04,1.312,1.396,0.908000052,0.322000027,0.66200006,3.292,2.046,0,3.37200022,3.37200022,3.124,67,45.5,41.5,45.5,1023,676,0,809,698,0,0,0,0,0,46.88,14.06,3.12,4.69,10.94,32.81,4.69,3.12,15.04,46.88,37.6114578,4394,724,5050,2394,50.5,2.61248088,0.54375,5050,569,50.5,1.07645464,0.54375,4552,194,50.5,0.2588325,0.54375,3671,229,40.4,0.195272282,0.54375,4735,330,50.5,0.451770633,0.54375,5050,1866,50.5,2.29673743,0.54375,3517,137,40.4,0.108293496,0.54375,3529,75,40.4,0.05139795,0.54375,66.50001,48.0000038,99.99826,5.99622345,30.88454,16.2584,5.137947,9.742817,34.5274429,35.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,49,1.069,1.30500007,0,10,15,39,420,5001.986,0,0,0,0,0,4,0,0,12.484,19.633,0.93,690.6172,136.0586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.03125,48,16376,15375,1000,6.107881,49.202,99328,2599936
05/28/2026 14:36:20,47,54,0,53,57,69,69,69,69,84,12.12,5.04,1.312,1.39200008,1.06000006,0.338000029,0.66200006,3.288,2.046,0,3.37200022,3.37200022,3.12000012,63,45.5,41.5,45.5,1026,676,0,836,709,0,0,0,0,0,74.6,55.56,36.51,28.57,49.21,73.02,17.46,15.87,43.85,74.6,52.34323,4250,2408,5050,4117,50.5,4.333847,0.54375,5050,3222,50.5,3.816417,0.54375,4040,1904,40.4,2.65821075,0.54375,4040,1520,40.4,2.180744,0.54375,4040,2382,40.4,3.1835382,0.55625,5050,3990,50.5,4.384498,0.5375,3367,1149,33.6666679,1.72659945,0.5375,3367,977,33.6666679,1.44020176,0.5375,63.3750076,54.2500038,99.99826,6.26318741,30.6175766,16.9822617,5.347336,9.533428,35.9345474,35.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,49,1.064,1.30500007,0,19,16,39,2670,10701.9883,0,0,0,0,0,2,0,0,17.694,19.968,0.975,712.9297,138.515625,3.34441519,0,0,0,0.175693035,0,0,0,0,0,1.3230437,0,0,0,50.34375,48,16376,15353,1022,6.243488,32.129,99328,2449408
05/28/2026 14:36:22,48,54,0,53,58,68,68,68,68,82,12.144001,5.04,1.312,1.396,1.046,0.328,0.66200006,3.292,2.046,0,3.37200022,3.37200022,3.12000012,64,45.5,41.5,45.5,1055,676,0,849,742,0,0,0,0,0,62.5,31.25,4.69,4.69,9.38,67.19,4.69,3.12,23.44,67.19,43.5754967,3743,1218,5050,3104,50.5,3.53467321,0.56875,4040,1570,40.4,2.11799741,0.5375,3367,413,33.6666679,0.782888651,0.5375,3367,259,33.6666679,0.403389245,0.5375,3367,801,33.6666679,1.35221457,0.5375,4040,3149,40.4,3.60092163,0.5375,3344,199,33.6666679,0.284463018,0.5375,3367,245,33.6666679,0.292877525,0.5375,63.3750076,46.8750038,99.99826,6.35374069,30.5270233,17.22779,5.42645264,9.454311,36.46622,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,50,1.03000009,1.30500007,0,6,15,40,2670,10701.9883,0,0,0,0,1,2,0,1,17.172,17.165,0.975,708.1758,138.515625,0.363269836,0,0,0,0,0,0,0,0,0,0,0,0,0,50.53125,50,16376,15358,1017,6.214482,49.063,0,49152
05/28/2026 14:36:24,49,54,0,54,58,67,67,67,67,81,12.12,5.04,1.314,1.396,1.072,0.334000021,0.66200006,3.288,2.046,0,3.37600017,3.37200022,3.124,63,45.5,41.5,45.5,1078,677,0,846,752,0,0,0,0,0,84.62,81.54,44.62,41.54,56.92,87.69,23.08,24.62,55.58,87.69,47.2784843,4896,2881,5000,4536,50,4.91556263,0.5125,4975,3680,49.75,4.391027,0.5125,4975,2527,49.75,3.396599,0.525,5025,1976,50.25,2.81359649,0.5125,5050,3112,50.5,4.00807428,0.5125,5050,4273,50.5,4.72055674,0.51875,5050,1575,50.5,2.28987837,0.5,4040,1367,40.4,1.93085146,0.51875,63.2500076,47.8750038,99.99827,6.575447,30.3053169,17.8289337,5.636799,9.243965,37.87977,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,50,1.074,1.30500007,0,37,16,40,2670,10701.9883,0,0,0,0,0,1,0,0,16.957,18.065,0.975,718.394531,139.488281,0.05057571,0,0,0,0,0,0,0,0,0,0.463483036,0,0,0,50.59375,48,16376,15348,1027,6.276501,34.59,4948992,349184
05/28/2026 14:36:26,50,54,0,55,59,69,69,69,69,84,12.12,5.04,1.312,1.39200008,1.064,0.326,0.66200006,3.292,2.046,0,3.37200022,3.37200022,3.124,69,45.5,42,45.5,1116,677,0,872,762,0,0,0,0,0,80,61.54,23.08,15.38,43.08,86.15,6.15,6.15,40.19,86.15,49.7611656,4023,1906,4040,3956,40.4,4.54790735,0.55625,5050,2912,50.5,3.44238138,0.55625,4040,1141,40.4,1.71425223,0.55625,3367,762,33.6666679,1.27455211,0.55625,4040,1891,40.4,2.5201807,0.55625,5050,3854,50.5,4.24196148,0.525,3271,413,33.6666679,0.677632153,0.525,3329,320,33.6666679,0.374342352,0.525,68.75001,50.0000038,99.99826,6.7859993,30.0947647,18.3998337,5.862797,9.017967,39.39849,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0.53935504,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,50,1.069,1.30500007,0,26,15,40,2670,10701.9883,0,0,0,0,5,2,0,0,18.035,20.38,0.975,718.605469,140.5664,0.7707707,0,0,0.033350803,0,0,0,0,0,0,1.33293247,0,0,0,50.71875,48,16376,15347,1028,6.27774143,50.91,0,0
05/28/2026 14:36:28,51,54,0,56,60,73,73,73,73,86,12.12,5.04,1.312,1.396,1.0660001,0.34,0.66200006,3.288,2.046,0,3.37200022,3.37200022,3.12000012,66,45.5,42,45.5,1129,676,0,860,750,0,0,0,0,0,57.81,40.62,7.81,6.35,17.19,64.06,1.59,0,24.43,64.06,43.8900337,4194,1318,5050,3015,50.5,3.485376,0.55,5050,1929,50.5,2.53236413,0.55625,3973,554,40.4,0.926875234,0.55625,4040,348,40.4,0.601776242,0.55625,4040,1048,40.4,1.581602,0.55625,4040,3401,40.4,3.81014657,0.55625,3694,135,40.4,0.240359053,0.55625,3664,117,40.4,0.137494311,0.55625,65.75001,47.5000038,99.99825,6.85417557,30.0265884,18.5846863,5.92056656,8.960197,39.78671,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0.275213927,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,50,1.05500007,1.30500007,0,19,16,40,2670,10701.9883,0,0,0,0,0,2,0,0,17.557,18.065,0.975,724.605469,139.4375,0.176971257,0,0,0.00594500871,0.00121556025,0,0,0,0,0,0.143548459,0,0,0,50.9375,48,16376,15341,1034,6.31438065,51.112,0,49152
05/28/2026 14:36:30,53,54,0,56,61,69,69,69,69,82,12.144001,5.04,1.312,1.39200008,1.06800008,0.33,0.66200006,3.292,2.046,0,3.37200022,3.37200022,3.124,64,45.5,42,45.5,1145,676,0,869,781,0,0,0,0,0,84.62,67.69,43.08,35.38,63.08,86.15,30.77,23.08,54.23,86.15,57.0046043,4629,2834,5050,4236,50.5,4.771355,0.51875,5050,3613,50.5,4.39304733,0.51875,5050,2584,50.5,3.40652251,0.51875,5050,1987,50.5,2.7765882,0.51875,5050,3052,50.5,3.88094568,0.51875,5050,4384,50.5,5.02759647,0.51875,3367,1480,33.6666679,2.195326,0.5375,3367,1339,33.6666679,1.93488765,0.5375,64.75001,59.3750038,99.99826,6.89599228,29.9847717,18.6980743,5.978302,8.902462,40.1746979,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,50,1.05000007,1.30500007,0,22,16,40,435,810,0,0,0,0,0,4,0,0,9.793,10.608,0.93,719.6094,139.453125,0.0309193,0,0,0,0.00064663915,0,0,0,0,0,0.044697687,0,0,0,50.6875,48,16376,15346,1029,6.283848,43.335,0,249856
05/28/2026 14:36:32,54,54,0,57,62,70,70,70,70,84,12.12,5.04,1.312,1.39200008,1.042,0.33,0.66200006,3.288,2.046,0,3.37200022,3.37200022,3.124,67,45.5,42,45.5,1173,675,0,886,775,0,0,0,0,0,78.46,58.46,35.38,27.69,47.69,76.92,27.69,20,46.54,78.46,50.1915169,4654,2189,4975,4003,49.75,4.212793,0.5625,4900,2656,49,3.219357,0.55,4900,1579,49,2.09110117,0.55,5000,1302,50,1.75570154,0.55,5000,2113,50,2.66128349,0.55,5050,3890,50.5,4.26356936,0.525,4040,1075,40.4,1.50049317,0.525,3367,897,33.6666679,1.25811458,0.525,67.00001,58.5000038,99.99826,7.3331337,29.54763,19.8833618,6.344841,8.535923,42.63787,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,50,0.979000032,1.30500007,0,2,15,39,210,810,0,0,0,0,1,23,0,0,10.127,12.906,0.93,756.664063,139.300781,0.272124946,0,0,0,0.00424896833,0,0,0,0,0,0.501846135,0,0,0,50.625,48,16376,15309,1066,6.509836,27.666,0,1449984
05/28/2026 14:36:34,55,54,0,58,62,72,72,72,72,85,12.12,5.04,1.312,1.396,1.08600008,0.346000016,0.66200006,3.288,2.046,0,3.37200022,3.37200022,3.124,66,45.5,42,45.5,1192,676,0,893,804,0,0,0,0,0,89.23,64.62,41.54,40,56.92,83.08,38.46,61.54,59.42,89.23,57.2470169,5047,3007,5025,4294,50.25,4.505765,0.5125,5050,3256,50.5,3.68975115,0.5125,5050,2405,50.5,2.901614,0.5125,5050,2157,50.5,2.665995,0.5125,5050,2838,50.5,3.403153,0.5125,5050,4301,50.5,4.64688,0.50625,5050,1641,50.5,2.12599516,0.5125,5050,3162,50.5,3.139036,0.5125,66.75001,65.125,99.99825,7.645149,29.2356148,20.72937,6.614395,8.266369,44.4493,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,35.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,50,1.08400011,1.30500007,0,14,15,40,2670,10701.9883,0,0,0,0,0,2,0,0,17.972,20.095,0.975,767.230469,141.28125,1.07179141,0,0,0,0.000851319346,0,0,0,0,0,0.643773556,0,0,0,51.0625,48,16376,15299,1076,6.57393026,36.199,119999488,2049024
