,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
05/24/2026 20:57:02,75,25,0,45,71,71,71,71,71,85,12.12,5.04,1.31000006,1.396,1.07,0.356,0.578,3.288,2.046,0,3.36800027,3.36800027,3.11600018,71,51,53.5,51.5,1612,430,0,552,0,0,0,0,0,0,32.81,3.08,0,0,0,78.12,0,0,14.25,78.12,39.155632,3520,710,3980,1429,39.8,1.72564447,0.5125,3724,144,40,0.181015909,0.525,3405,33,40,0.0586269759,0.525,3196,13,40,0.0441031642,0.525,3431,51,40,0.088373445,0.525,5025,3976,50.25,3.44477773,0.525,2730,15,33.5,0.035822995,0.525,2665,16,33.5,0.03597524,0.525,71.62501,70.75,99.99747,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.06000006,1.30500007,0,9,16,48,2670,10451.9824,1047,1046,32,32,0,0,0,0,15.929,20.194,0.975,9462.824,272.230469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.03125,60,16376,6611,9764,59.62885,62.965,3799040,299008
05/24/2026 20:57:04,76,25,0,45,75,75,75,75,75,89,12.12,5.03,1.30800009,1.39200008,1.074,0.354,0.578,3.288,2.046,0,3.36800027,3.36800027,3.11200023,73,51.5,53.5,51.5,1630,421,0,552,0,0,0,0,0,0,22.41,1.72,0,0,1.72,89.66,0,0,14.44,89.66,39.4694672,3301,731,4040,1136,40.4,1.54714859,0.525,3733,157,40.4,0.179592177,0.525,2740,25,33.6666679,0.0415823534,0.525,2672,14,33.6666679,0.0366193,0.53125,2777,36,33.6666679,0.0673701242,0.53125,5025,4445,50.25,3.81267285,0.5125,2684,15,33.5,0.036066886,0.5125,2740,20,33.5,0.03809011,0.5125,73.50001,61.8750038,99.9975,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.064,1.30500007,0,11,16,48,2670,10451.9824,1045,1045,31,31,0,0,0,0,15.462,17.188,0.975,9476.043,277.8086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.46875,60,16376,6598,9777,59.70871,44.948,349184,349184
05/24/2026 20:57:06,77,25,0,45,79,79,79,79,79,93,12.0960007,5.03,1.30800009,1.39200008,1.052,0.36,0.578,3.28400016,2.046,0,3.364,3.364,3.11200023,80,51,53.5,51.5,1659,421,0,567,0,0,0,0,0,0,46.88,9.38,10.94,1.56,17.19,71.88,0,0,19.73,71.88,42.7846565,4272,846,4875,2377,48.75,3.03364944,0.525,3725,552,39.4,1.00705707,0.5625,4333,281,48.5,0.6583912,0.5875,4175,123,48.5,0.4802927,0.5875,4337,380,48.5,0.7670166,0.5875,4850,3008,48.5,4.02950239,0.5875,3943,27,48.5,0.137049988,0.5875,3934,17,48.5,0.0391600579,0.5875,81.25,69.375,99.99747,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.05000007,1.30500007,0,20,17,47,2670,10451.9824,1041,1044,31,31,27,2,0,0,16.576,17.983,0.975,10211.4883,410.484375,1.00627816,0,0,0,0,0,0,0,0,0,7.25123167,0,0,0,59.21875,60,16376,5864,10511,64.19098,48.211,599040,299008
05/24/2026 20:57:08,78,25,0,45,83,83,83,83,83,97,12.0960007,5.02000046,1.30600011,1.39200008,1.052,0.364000022,0.578,3.28000021,2.046,0,3.364,3.364,3.108,81,51,53.5,51.5,1662,420,0,553,0,0,0,0,0,0,19.05,9.52,6.35,0,4.76,98.44,3.12,4.69,18.24,98.44,42.8400078,3588,965,3960,1116,39.6,1.65271139,0.5375,3884,646,39.6,0.9747093,0.5375,2992,281,33,0.5577753,0.5375,2985,181,33,0.44862175,0.5375,3673,417,39.6,0.726123333,0.5375,4950,4734,49.5,5.71766853,0.5375,2963,118,33,0.3414769,0.525,3300,228,33,0.306892842,0.525,81.25,74,99.99748,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.064,1.30500007,0,9,16,47,2850,10451.9824,1035,1033,31,31,0,1,0,0,21.51,23.092,1.09,9894.074,485.9336,1.02171445,0,0,0,0,0,0,0,0,0,8.005153,0,0,0,59.15625,60,16376,6181,10194,62.25302,49.914,499712,349184
05/24/2026 20:57:10,79,25,0,45,87,87,87,87,87,98,12.0960007,5.02000046,1.30800009,1.39200008,1.062,0.364000022,0.578,3.28000021,2.046,0,3.364,3.364,3.108,80,51,53.5,51.5,1678,429,0,553,0,0,0,0,0,0,44.44,20,6.15,1.56,6.15,57.81,0,0,17.02,57.81,41.9662323,3884,924,4000,2229,40,2.3073163,0.53125,5000,934,50,1.45791757,0.53125,3862,288,40,0.719218135,0.53125,3144,166,33.3333321,0.482371658,0.53125,3903,403,40,0.848818243,0.53125,5025,3146,50.25,3.31009078,0.51875,3058,120,33.5,0.3723977,0.51875,3079,102,33.5,0.345467746,0.51875,79.5,66.5,99.9974747,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.064,1.30500007,0,5,16,47,2670,10451.9824,1025,1024,31,31,15,3,0,5,27.26,17.136,0.975,11015.8789,365.261719,18.4887218,0,0,0,1.943565,0,0,0,0,0,7.223446,0,0,0,58.75,58,16376,5059,11316,69.10213,58.835,499712,2.763991E+08
05/24/2026 20:57:12,80,25,0,45,91,91,91,91,91,95,12.0720005,5.03,1.30800009,1.39200008,1.042,0.354,0.580000043,3.28000021,2.046,0,3.364,3.364,3.108,76,51,53.5,51.5,1687,427,0,566,0,0,0,0,0,0,48.44,17.19,10.94,4.69,10.94,43.75,3.12,7.81,18.36,48.44,42.07536,3946,998,3960,2281,39.6,2.37396431,0.5375,4950,1005,49.5,1.71174133,0.5375,3757,529,39.6,1.27239132,0.5375,3728,405,39.6,1.0997411,0.5375,3790,663,39.6,1.45352912,0.5375,3960,2465,39.6,2.38509274,0.5375,3669,310,39.6,1.01338542,0.5375,3754,326,39.6,1.00966072,0.5375,75.62501,61.8750038,99.99749,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.04000008,1.30500007,0,6,16,59,2835,10451.9824,1014,1014,30,30,99,53,0,1,83.833,84.263,1.09,11139.98,389.261719,94.1380844,0,0,0,0.0249307,0,0,0,0,0,0.151054248,0,0,0,72.28125,62,16376,4935,11440,69.86274,206.948,3.471493E+08,2.863995E+08
05/24/2026 20:57:14,82,24,0,44,89,89,89,89,89,93,12.048,5.02000046,1.30600011,1.39200008,1.03000009,0.352000028,0.578,3.27600026,2.046,0,3.36800027,3.364,3.11200023,73,50.5,53.5,51.5,1719,421,0,552,0,0,0,0,0,0,39.68,21.88,15.62,12.5,21.88,68.25,4.69,9.38,24.23,68.25,43.59748,3944,1184,4975,2370,49.75,2.57886076,0.53125,3980,1315,39.8,2.093596,0.53125,3121,654,33.1666679,1.50143445,0.53125,3087,575,32.3333321,1.38568175,0.525,4615,858,48.5,1.6886853,0.525,5025,2933,50.25,2.79695463,0.525,3061,392,33.5,1.19409907,0.525,3689,379,40,1.18022788,0.53125,72.75001,61.8750038,99.9974747,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.04500008,1.30500007,0,10,17,59,2835,10451.9824,1012,1008,32,33,99,53,0,2,83.202,83.692,1.09,11144.1914,389.5586,91.2523651,0,0,0,0.0194393676,0,0,0,0,0,0,0,0,0,68.59375,64,16376,4931,11444,69.88824,238.018,527699968,1.95499E+08
05/24/2026 20:57:16,83,23,0,44,85,85,85,85,85,91,12.0720005,5.02000046,1.30800009,1.39200008,1.03000009,0.350000024,0.578,3.27600026,2.046,0,3.364,3.364,3.11200023,71,50.5,53.5,51.5,1736,383,0,553,0,0,0,0,0,0,48.44,17.19,12.5,7.81,12.5,64.06,7.81,7.81,22.27,64.06,43.4345436,4358,1164,4950,2286,49.5,2.528527,0.5375,4875,1258,48.75,1.98981333,0.5375,4684,760,48.75,1.55861938,0.53125,3663,530,39,1.30316246,0.53125,4631,819,48.75,1.62787545,0.53125,4875,2808,48.75,2.67581677,0.53125,3596,466,39,1.23281133,0.53125,3590,383,39,1.14563465,0.53125,70.62501,63.6250038,99.99747,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.04000008,1.30500007,0,23,17,59,2835,10451.9824,1055,1055,37,37,99,53,0,2,84.519,84.393,1.09,11144.1914,389.5586,92.9322357,0,0,0,0.0148298759,0,0,0,0,0,0,0,0,0,73.53125,64,16376,4931,11444,69.88824,239.119,7.416494E+08,226399232
05/24/2026 20:57:18,84,24,0,45,82,82,82,82,81,89,12.0720005,5.03,1.30800009,1.39200008,1.04000008,0.352000028,0.578,3.28000021,2.046,0,3.364,3.364,3.108,69,51,53.5,51.5,1744,392,0,535,0,0,0,0,0,0,35.94,18.75,21.54,12.31,17.19,60.94,12.31,10.77,23.72,60.94,43.67923,3964,1185,5000,2277,50,2.577738,0.525,4000,1392,40,2.10267138,0.54375,3766,667,40,1.48280191,0.54375,3766,569,40,1.3619076,0.54375,3821,855,40,1.6868875,0.54375,4000,2913,40,2.78651381,0.54375,3629,382,40,1.181538,0.54375,3729,428,40,1.19300318,0.54375,69.25001,64.25,99.9974747,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.04000008,1.30500007,0,9,17,60,2835,10451.9824,1133,1131,38,38,99,53,0,2,83.233,83.325,1.09,11144.1914,389.328125,94.32069,0,0,0,0.0145200174,0,0,0,0,0,0,0,0,0,73.09375,66,16376,4931,11444,69.88824,238.873,703549440,1.355991E+08
