,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
05/26/2026 03:00:58,69,49,0,62,47,65,65,65,65,79,12.0960007,5.03,1.30800009,1.39200008,1.052,0.356,0.594000041,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,63,50,51,50.5,1534,628,0,911,592,0,0,0,0,0,44.26,4.92,6.56,3.28,9.84,75.41,1.64,0,18.24,75.41,39.6250343,4055,955,4850,2217,48.5,2.01738548,0.55625,4850,606,48.5,0.6430212,0.6,3184,251,32.3333321,0.343255,0.6,3144,168,32.3333321,0.266014457,0.6,4850,468,48.5,0.485474735,0.6,5050,3804,50.5,2.98774457,0.5375,3682,95,40.4,0.182664931,0.525,2828,33,33.6666679,0.08903042,0.51875,63.3750076,52.6250038,99.99822,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,1.04500008,1.30500007,0,6,16,46,2670,10451.9824,1001,1001,30,30,0,1,0,0,16.22,18.938,0.975,9881.277,395.28125,0.1414407,0,0,0,0,0,0,0,0,0,0,0,0,0,57.4375,58,16376,6194,10181,62.1743736,45.86,149504,15149056
05/26/2026 03:01:00,70,49,0,65,47,67,67,67,67,81,12.12,5.03,1.30800009,1.39200008,1.054,0.34800002,0.594000041,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,64,50,51,50.5,1546,627,0,939,576,0,0,0,0,0,52.31,6.15,0,0,3.08,63.08,1.56,0,15.77,63.08,38.28672,3662,726,5050,2435,50.5,2.008373,0.525,3884,225,40.4,0.264789462,0.525,2940,66,33.6666679,0.06819943,0.525,2877,49,33.6666679,0.0532618128,0.525,3622,114,40.4,0.123054385,0.51875,4040,2863,40.4,2.41855383,0.51875,3583,33,40.4,0.04842923,0.51875,3296,20,40.4,0.0253294688,0.51875,64.12501,52.3750038,99.99822,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,1.03500009,1.30500007,0,4,16,46,2670,10451.9824,1002,999,30,30,0,1,0,0,16.786,20.765,0.975,9888.5625,395.28125,0,0,0,0,0.00101702032,0,0,0,0,0,0.248947874,0,0,0,57.15625,56,16376,6185,10190,62.2259979,47.422,1199104,0
05/26/2026 03:01:02,71,49,0,65,47,67,67,67,67,82,12.0960007,5.03,1.31000006,1.39200008,1.056,0.346000016,0.594000041,3.288,2.046,0,3.36800027,3.36800027,3.11600018,65,50.5,51,50.5,1576,627,0,960,577,0,0,0,0,0,56.76,1.35,0,0,0,47.3,0,0,13.18,56.76,40.8490143,3818,715,5050,3046,50.5,2.46729612,0.51875,3923,163,40.4,0.2102865,0.51875,3373,37,40.4,0.0435851365,0.51875,3482,36,40.4,0.03410015,0.51875,3354,47,40.4,0.07722622,0.51875,5050,2337,50.5,2.503989,0.51875,3529,31,40.4,0.0279131476,0.51875,2783,21,33.6666679,0.0246929284,0.51875,65.75001,57.5000038,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.064,1.30500007,0,7,16,45,2670,10451.9824,1002,1001,30,30,0,1,0,0,16.419,18.595,0.975,8689.695,550.851563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.875,56,16376,7386,8989,54.8969345,49.187,0,0
05/26/2026 03:01:04,73,49,0,69,47,70,70,70,70,83,12.0960007,5.03,1.31000006,1.39200008,1.024,0.342,0.594000041,3.288,2.046,0,3.36800027,3.36800027,3.11600018,66,50.5,51,50.5,1572,605,0,970,592,0,0,0,0,0,33.33,14.29,11.11,3.17,11.11,85.71,6.35,1.59,20.83,85.71,41.36987,3723,1040,3900,1642,39,1.64403844,0.5375,4950,921,49.5,1.07130778,0.5625,3209,341,33,0.562840939,0.56875,3210,222,33,0.389222741,0.56875,3300,558,33,0.7678989,0.56875,5000,4440,50,3.69415975,0.55625,3093,120,33.6666679,0.255422771,0.5375,3125,72,33.6666679,0.154870808,0.5375,67.00001,63.2500038,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,1.05500007,1.30500007,0,7,18,46,2670,10451.9824,1000,1000,30,30,4,1,0,2,23.7,16.726,0.975,9426.527,395.699219,2.8043592,0,0,0,1.25883222,0,0,0,0,0,5.118433,0,0,0,56.6875,56,16376,6648,9727,59.39795,46.941,0,0
05/26/2026 03:01:05,74,49,0,73,47,73,73,74,74,87,12.12,5.03,1.31000006,1.396,1.07,0.350000024,0.594000041,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,72,50.5,51,50.5,1602,627,0,1020,575,0,0,0,0,0,21.88,4.69,0,1.54,0,89.06,0,1.54,14.84,89.06,41.8494148,3378,782,3367,900,33.6666679,1.2836808,0.5125,3367,382,33.6666679,0.984511,0.5125,3076,98,33.6666679,0.2689137,0.5125,3026,71,33.6666679,0.175608829,0.5125,3181,191,33.6666679,0.3694674,0.5125,5050,4523,50.5,5.154531,0.5,2994,50,33.6666679,0.1371893,0.5,2963,42,33.6666679,0.1374949,0.5,70.12501,66.5,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,1.064,1.30500007,0,8,16,45,2670,10451.9824,1000,999,30,30,9,5,0,0,25.745,18.298,0.975,10083.0586,399.261719,8.123362,0,0,0,0.106862128,0,0,0,0,0,0.6906894,0,0,0,56.75,58,16376,5992,10383,63.4062424,57.236,49152,0
05/26/2026 03:01:07,75,49,0,77,47,77,77,78,78,91,12.12,5.04,1.31000006,1.39200008,1.064,0.346000016,0.594000041,3.288,2.046,0,3.36800027,3.36800027,3.11600018,71,50,51,50.5,1621,604,0,1069,591,0,0,0,0,0,38.1,14.29,3.17,6.35,6.35,73.02,0,0,17.66,73.02,41.4409256,3986,925,4040,2090,40.4,2.36701965,0.55625,4040,681,40.4,1.23131812,0.625,3856,300,40.4,0.60538,0.625,3714,181,40.4,0.4740726,0.625,3836,412,40.4,0.7449734,0.625,5050,3559,50.5,3.81902075,0.54375,3677,109,40.4,0.32638222,0.55,3677,70,40.4,0.205982283,0.55,71.75001,52.2500038,99.99824,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,1.079,1.30500007,0,8,16,49,2670,10451.9824,999,999,30,30,26,14,0,0,57.045,69.822,0.975,10763.34,402.8164,24.5435181,0,0,0,0.2893363,0,0,0,0,0,5.27153873,0,0,0,58.03125,58,16376,5312,11063,67.5577545,62.734,578349056,151549952
05/26/2026 03:01:09,76,49,0,78,47,78,78,78,78,88,12.0720005,5.03,1.31000006,1.39200008,1.03200006,0.358,0.594000041,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,67,50.5,51,50.5,1664,626,0,1114,576,0,0,0,0,0,47.62,19.05,10.94,10.94,14.06,47.62,10.94,10.94,21.51,47.62,41.01561,3796,1123,4850,2411,48.5,2.23642135,0.63125,4850,1263,48.5,1.76138735,0.63125,3233,675,32.3333321,1.284267,0.63125,3153,495,32.3333321,1.08241856,0.63125,3233,859,32.3333321,1.48151,0.63125,4850,2591,48.5,2.39080954,0.63125,3109,394,32.3333321,0.9501298,0.63125,3093,293,32.3333321,0.8234973,0.64375,67.62501,53.1250038,99.99822,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,1.064,1.30500007,0,14,17,58,2835,10451.9824,995,999,30,30,99,60,0,1,89.45,88.469,1.09,10763.3555,404.925781,94.09945,0,0,0,0.0208750218,0,0,0,0,0,0.05595398,0,0,0,69.40625,62,16376,5312,11063,67.5577545,253.627,7.261E+08,181049344
