,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
05/26/2026 00:41:21,79,49,0,75,47,75,75,76,76,87,12.0960007,5.03,1.30800009,1.39200008,1.07800007,0.354,0.578,3.28000021,2.046,0,3.36800027,3.364,3.11200023,68,51.5,53.5,51.5,1716,606,0,1100,578,0,0,0,0,0,60,7.69,0,0,3.08,50.77,1.54,0,15.38,60,39.6268044,3524,769,4040,2783,40.4,2.56813121,0.525,3153,240,33.6666679,0.428854853,0.525,2905,48,33.6666679,0.07028551,0.525,3285,24,40.4,0.041461654,0.525,2921,58,33.6666679,0.137641817,0.525,4850,2923,48.5,2.53159022,0.51875,3624,48,40.4,0.06499229,0.6,3416,27,40.4,0.05027128,0.55,68.12501,59.0000038,99.99822,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,58,1.06000006,1.30500007,0,7,16,48,2670,10451.9824,1194,1194,37,37,0,0,0,0,21.55,19.988,0.975,10330.0313,398.652344,0.0160789266,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9375,60,16376,5745,10630,64.91526,61.434,122899456,399360
05/26/2026 00:41:23,80,49,0,78,47,78,78,78,78,89,12.12,5.03,1.31000006,1.396,1.052,0.358,0.578,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,70,52,53.5,51.5,1751,628,0,1084,592,0,0,0,0,0,51.56,34.38,17.19,4.69,15.62,57.81,7.81,3.12,24.02,57.81,44.7572,3708,1294,4040,2490,40.4,2.52309728,0.525,5050,1845,50.5,2.27327466,0.525,3367,761,33.6666679,1.31969154,0.5375,3367,471,33.6666679,0.937155664,0.5375,3367,983,33.6666679,1.50834024,0.5375,4040,3155,40.4,3.23819327,0.5375,3239,383,33.6666679,0.781037748,0.5375,3192,260,33.6666679,0.680259645,0.5375,69.75001,58.0000038,99.99824,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,58,1.064,1.30500007,0,11,17,47,2670,10451.9824,1186,1187,35,35,18,6,0,2,22.848,21.205,0.975,11056.6719,442.2461,7.453687,0,0,0,2.36407542,0,0,0,0,0,9.224075,0,0,0,58.34375,58,16376,5019,11356,69.35144,53.236,2.2048E+09,315299840
05/26/2026 00:41:25,80,49,0,76,47,76,76,76,76,87,12.0960007,5.03,1.30800009,1.396,1.0200001,0.350000024,0.578,3.288,2.046,0,3.36800027,3.36800027,3.11600018,67,52,53.5,51.5,1754,606,0,1094,577,0,0,0,0,0,58.73,19.05,6.35,4.76,12.7,53.97,3.17,3.17,20.24,58.73,41.0987434,4378,945,3980,1869,39.8,2.21811342,0.53125,4975,1188,49.75,1.78712463,0.53125,4917,580,49.5,1.2638278,0.5375,3330,505,33.5,1.16968036,0.5375,4008,732,40.2,1.39447808,0.525,5025,1979,50.25,2.312197,0.525,3907,367,40.2,1.036268,0.525,4878,341,49.25,1.02702165,0.525,67.25001,56.1250038,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,58,0.974000037,1.30500007,0,4,16,52,2850,10451.9824,1167,1168,35,35,71,57,0,0,59.613,66.975,1.09,11103.6016,399.8125,65.16345,0,0,0,0.0771759152,0,0,0,0,0,0.09507728,0,0,0,61,64,16376,4972,11403,69.63833,146.216,50799616,33949696
05/26/2026 00:41:27,80,49,0,75,47,75,75,75,75,87,12.0960007,5.03,1.30800009,1.39200008,1.064,0.366000026,0.578,3.28400016,2.046,0,3.36800027,3.36800027,3.11200023,68,51.5,53.5,51.5,1721,629,0,1115,577,0,0,0,0,0,71.88,20.31,9.38,10.94,14.06,60.94,7.81,3.12,24.8,71.88,45.16586,4824,1283,5025,3287,50.25,3.50326777,0.51875,5025,1248,50.25,1.95412612,0.51875,4973,648,50.25,1.42316675,0.51875,4905,475,50.25,1.261707,0.51875,4982,860,50.25,1.60330474,0.51875,5050,3084,50.5,3.50791836,0.51875,4811,382,50.5,1.14972019,0.51875,3822,283,40.4,1.06808186,0.51875,68.25001,58.5000038,99.99822,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,1.05000007,1.30500007,0,16,16,50,2670,10451.9824,1146,1147,35,35,35,28,0,0,35.139,31.837,0.975,11104.1016,399.8125,31.3691273,0,0,0,0.331994236,0,0,0,0,0,0,0,0,0,59.53125,62,16376,4971,11404,69.64138,114.578,112699392,20349952
05/26/2026 00:41:29,80,49,0,76,47,76,76,76,76,87,12.0960007,5.03,1.31000006,1.39200008,1.064,0.36,0.580000043,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,68,52,53.5,51.5,1739,629,0,1071,592,0,0,0,0,0,69.84,38.1,11.11,7.94,19.05,50.79,3.17,0,25,69.84,46.1026154,3646,1414,3960,3349,39.6,3.702811,0.54375,3300,1727,33,2.41771173,0.54375,3300,814,33,1.62164438,0.54375,3960,569,39.6,1.459936,0.54375,3300,1058,33,1.80357552,0.54375,5000,3076,50,3.51236653,0.55,3171,380,33.3333321,1.17922556,0.55,3181,337,33.3333321,1.13340747,0.55,68.50001,60.3750038,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,58,1.064,1.30500007,0,12,16,48,2670,10451.9824,1133,1134,34,34,37,29,0,0,36.833,40.734,0.975,11135.98,399.8125,31.184166,0,0,0,0.332512856,0,0,0,0,0,0.0739232,0,0,0,58.8125,62,16376,4939,11436,69.83603,94.386,109699072,30449664
05/26/2026 00:41:31,80,49,0,76,47,76,76,76,76,87,12.0960007,5.03,1.30800009,1.39200008,1.05800009,0.354,0.578,3.28400016,2.046,0,3.36800027,3.364,3.11600018,67,52,53.5,51.5,1746,606,0,1098,577,0,0,0,0,0,68.25,19.05,7.94,4.76,14.29,47.62,6.35,4.76,21.63,68.25,44.34802,3791,1254,4000,3313,40,3.64610076,0.53125,5000,1486,50,2.10525751,0.53125,3152,606,33.3333321,1.40919745,0.53125,3128,412,33.3333321,1.2023232,0.53125,3903,798,40.4,1.60758865,0.53125,5000,2853,50,3.09731865,0.54375,3072,295,33.3333321,1.076083,0.54375,3071,269,33.3333321,1.057004,0.54375,67.75001,59.0000038,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,1.06000006,1.30500007,0,15,16,51,2850,10451.9824,1125,1123,34,34,42,33,0,0,46.568,40.305,1.09,11135.98,399.8125,38.3347,0,0,0,0.3470442,0,0,0,0,0,0,0,0,0,59.9375,62,16376,4939,11436,69.83603,130.134,100449280,2.109952E+07
05/26/2026 00:41:33,79,49,0,74,47,74,74,74,74,86,12.0960007,5.03,1.31000006,1.39200008,1.062,0.36,0.578,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,67,52,53.5,51.5,1726,628,0,1098,591,0,0,0,0,0,39.06,23.44,7.81,6.25,20.31,70.31,6.25,4.69,22.27,70.31,45.3149872,3742,1163,3960,2247,39.6,2.44993782,0.525,3960,1213,39.6,1.92710328,0.525,3836,613,40.2,1.36490953,0.54375,3141,394,33.5,1.18684,0.54375,3796,707,40.2,1.45329165,0.54375,5025,3511,50.25,4.06799746,0.53125,3083,306,33.5,1.06992972,0.53125,3132,310,33.5,1.09752953,0.53125,67.75001,58.5000038,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,58,1.069,1.30500007,0,13,16,51,2850,10451.9824,1118,1119,34,34,39,31,0,0,43.004,40.268,1.09,11135.98,399.8125,36.1646347,0,0,0,0.341870159,0,0,0,0,0,0,0,0,0,59.875,62,16376,4939,11436,69.83603,126.706,103549952,24148992
05/26/2026 00:41:35,78,49,0,74,47,74,74,74,74,86,12.0960007,5.03,1.31000006,1.39200008,1.03200006,0.358,0.578,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,67,52,53.5,51.5,1699,606,0,1071,591,0,0,0,0,0,50.79,28.57,14.29,9.52,14.29,71.43,9.52,4.76,25.4,71.43,45.1470757,4314,1329,4020,2634,40.2,2.846387,0.60625,5025,1582,50.25,2.27205324,0.60625,4020,876,40.2,1.63129985,0.60625,3955,654,40.2,1.43385923,0.60625,4018,986,40.2,1.741614,0.60625,4975,3041,49.75,3.54078627,0.51875,3762,443,39.8,1.23654807,0.51875,4737,418,49.75,1.212505,0.51875,67.12501,56.1250038,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,1.064,1.30500007,0,13,16,50,2850,10451.9824,1115,1116,34,34,40,32,0,0,59.07,63.211,1.09,11135.98,399.8125,38.4901123,0,0,0,0.248424649,0,0,0,0,0,0,0,0,0,60.0625,62,16376,4939,11436,69.83603,123.814,131949568,2.429952E+07
05/26/2026 00:41:37,77,49,0,71,47,71,71,71,71,84,12.0960007,5.03,1.30800009,1.39200008,1.02200007,0.366000026,0.580000043,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,65,52,53.5,51.5,1692,628,0,1069,578,0,0,0,0,0,30.77,21.54,9.23,6.15,12.31,23.08,4.62,3.08,13.85,30.77,41.8027649,4019,938,4850,2024,48.5,2.39577341,0.63125,4850,1210,48.5,1.80341816,0.63125,3227,604,32.3333321,1.25904608,0.63125,3180,455,32.3333321,1.123231,0.63125,4850,700,48.5,1.36438048,0.63125,4850,1875,48.5,2.22511744,0.63125,3150,319,32.3333321,0.9993854,0.63125,3193,314,32.3333321,0.994211435,0.63125,65.00001,56.1250038,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,1.069,1.30500007,0,11,16,53,2835,10451.9824,1110,1113,34,34,72,56,0,0,62.707,67.899,1.09,11135.98,399.8125,65.1906357,0,0,0,0.0294259638,0,0,0,0,0,0,0,0,0,61.46875,64,16376,4939,11436,69.83603,172.401,1.555497E+08,27099136
