,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
05/26/2026 17:45:42,43,53,0,53,58,51,51,51,51,69,12.12,5.04,1.31000006,1.39200008,1.044,0.322000027,0.678000033,3.288,2.046,0,3.37200022,3.37200022,3.11600018,54,44.5,43.5,44.5,981,700,0,838,750,0,0,0,0,0,84.29,1.43,0,0,1.43,25.71,0,0,14.11,84.29,36.4519348,3331,653,3367,4053,33.6666679,3.15845585,0.5625,3784,221,40.4,0.229807779,0.5625,2927,96,33.6666679,0.09811617,0.5625,3477,70,40.4,0.05346082,0.5625,2991,110,33.6666679,0.142969042,0.5625,3367,598,33.6666679,0.569675565,0.5625,3358,37,40.4,0.0293208119,0.5625,3376,36,40.4,0.0229099635,0.56875,54.0000076,45.8750038,99.9982,512,-1,485.785156,454.25,31.5351563,9.511719,7609.43945,7618.951,0.175265625,0,0,0,0,0,0,0,0,0,0,31,481,600,1200,3000,49,1.03500009,1.30500007,0,5,16,44,2670,10451.9824,0,0,0,0,0,1,0,0,17.218,17.586,0.975,8367.1875,285.863281,0.00376118929,0,0,0,0,0,0,0,0,0,0.02987033,0,0,0,55.875,54,16376,7256,9119,55.69016,49.803,0,849920
05/26/2026 17:45:44,43,53,0,53,57,49,49,49,49,67,12.12,5.03,1.31000006,1.39200008,1.04000008,0.322000027,0.676000059,3.288,2.046,0,3.37200022,3.36800027,3.11600018,53,45,43.5,44.5,977,669,0,848,752,0,0,0,0,0,75.71,4.23,2.82,2.82,2.82,30,2.82,1.41,15.33,75.71,36.0906372,3400,683,5050,3944,50.5,3.07653952,0.55,2993,152,33.6666679,0.166805789,0.55,2835,55,33.6666679,0.0501961224,0.55,2880,59,33.6666679,0.04260203,0.55,2880,79,33.6666679,0.07952935,0.55,5050,1092,50.5,0.9120968,0.56875,2770,43,33.6666679,0.0339262858,0.5625,2744,39,33.6666679,0.0231403913,0.5625,53.7500076,45.3750038,99.9982,512,-1,485.785156,454.25,31.5351563,9.511719,7609.43945,7618.951,0.09192511,0,0,0,0,0,0,0,0,0,0,31,481,600,1200,3000,49,1.03000009,1.30500007,0,5,16,45,2670,10451.9824,0,0,0,0,0,1,0,0,16.886,16.825,0.975,8367.1875,285.863281,0.005004273,0,0,0,0,0,0,0,0,0,0.02894338,0,0,0,55.90625,54,16376,7256,9119,55.69016,48.52,99328,5449728
05/26/2026 17:45:46,43,53,0,53,57,49,49,49,49,68,12.12,5.04,1.312,1.39200008,1.042,0.332000017,0.676000059,3.292,2.046,0,3.37200022,3.37200022,3.12000012,53,45,43.5,44.5,965,667,0,854,735,0,0,0,0,0,75.38,1.54,0,0,0,30.77,0,0,13.46,75.38,36.3260956,3565,724,5050,3777,50.5,2.95417023,0.575,3706,163,40.4,0.175489977,0.575,2852,58,33.6666679,0.0564298034,0.575,2853,46,33.6666679,0.03900116,0.575,3455,95,40.4,0.115982741,0.575,5050,1591,50.5,1.31022906,0.5625,2834,35,33.6666679,0.0303522367,0.55625,2720,27,33.6666679,0.0219176952,0.55625,54.0000076,45.3750038,99.99819,512,-1,485.785156,454.25,31.5351563,9.511719,7609.43945,7618.951,0,0,0,0,0,0,0,0,0,0,0,31,481,600,1200,3000,49,1.03500009,1.30500007,0,5,16,45,2670,10451.9824,0,0,0,0,0,1,0,0,17.502,18.994,0.975,8367.1875,285.863281,0.0072208955,0,0,0,0,0,0,0,0,0,0.020738177,0,0,0,56.09375,54,16376,7256,9119,55.69016,48.529,99328,3849216
05/26/2026 17:45:48,43,53,0,53,57,49,49,49,49,67,12.12,5.04,1.31000006,1.39200008,1.044,0.324,0.676000059,3.288,2.046,0,3.37200022,3.37200022,3.12000012,54,45,43.5,44.5,960,690,0,829,733,0,0,0,0,0,82.54,0,0,0,0,22.22,0,0,13.1,82.54,36.12102,3597,758,4975,4167,49.75,3.22084451,0.5,4663,162,50.5,0.145874739,0.525,2895,69,33.6666679,0.0566140972,0.525,2790,48,33.6666679,0.0467151254,0.53125,2859,72,33.6666679,0.0737404,0.53125,5050,1460,50.5,1.17084062,0.55625,2800,58,33.6666679,0.04246111,0.55625,2745,31,33.6666679,0.028735524,0.55625,54.0000076,55.2500038,99.99819,512,-1,485.785156,454.25,31.5351563,9.511719,7609.43945,7618.951,0.09903846,0,0,0,0,0,0,0,0,0,0,31,481,600,1200,3000,49,1.03000009,1.30500007,0,5,16,45,2670,10451.9824,0,0,0,0,0,1,0,0,17.583,20.579,0.975,8367.1875,285.863281,0.00228291936,0,0,0,0,0,0,0,0,0,0.0112928413,0,0,0,56.15625,54,16376,7256,9119,55.69016,50.459,249856,0
05/26/2026 17:45:50,44,54,0,53,58,49,49,49,49,67,12.12,5.04,1.312,1.396,1.04000008,0.336000025,0.676000059,3.292,2.046,0,3.37200022,3.37200022,3.12000012,53,45,43.5,44.5,984,673,0,849,754,0,0,0,0,0,85.94,0,0,0,0,15.62,0,0,12.7,85.94,36.1425858,3370,674,3367,4228,33.6666679,3.210312,0.5625,2996,145,33.6666679,0.170216382,0.5625,4126,62,48.5,0.06478336,0.5625,2943,76,33.6666679,0.0591219142,0.56875,2818,64,33.6666679,0.09021152,0.56875,4040,747,40.4,0.691443741,0.56875,3416,40,40.4,0.032410726,0.56875,3258,28,40.4,0.0252929013,0.56875,53.8750076,45.8750038,99.9981842,512,-1,485.785156,454.25,31.5351563,9.511719,7609.43945,7618.951,0,0,0,0,0,0,0,0,0,0,0,31,481,600,1200,3000,49,1.03500009,1.30500007,0,6,16,45,2670,10451.9824,0,0,0,0,0,1,0,0,16.811,17.589,0.975,8367.1875,285.863281,0.005720905,0,0,0,0,0,0,0,0,0,0.0257783,0,0,0,56.3125,54,16376,7256,9119,55.69016,49.221,49152,1599488
05/26/2026 17:45:52,43,54,0,53,57,49,49,49,49,67,12.12,5.04,1.312,1.39200008,1.04000008,0.332000017,0.676000059,3.288,2.046,0,3.37200022,3.37200022,3.12000012,53,45,43.5,44.5,956,677,0,843,751,0,0,0,0,0,83.08,1.56,0,0,0,23.08,1.56,0,13.66,83.08,36.11722,3580,722,5050,4063,50.5,3.11518836,0.54375,2960,155,33.6666679,0.182289854,0.54375,2920,94,33.6666679,0.0816822052,0.54375,2918,64,33.6666679,0.0550200455,0.54375,2916,93,33.6666679,0.115278654,0.54375,5050,1177,50.5,0.968865,0.5625,4097,88,48.5,0.0525455959,0.55625,2732,44,33.6666679,0.0272069275,0.55,53.6250076,45.8750038,99.9982,512,-1,485.785156,454.25,31.5351563,9.511719,7609.43945,7618.951,0.107444696,0,0,0,0,0,0,0,0,0,0,31,481,600,1200,3000,49,1.04500008,1.30500007,0,6,16,45,2670,10451.9824,0,0,0,0,0,2,0,0,17.616,17.673,0.975,8367.1875,286.09375,0.01428548,0,0,0,0,0,0,0,0,0,0.041889023,0,0,0,56.40625,56,16376,7256,9119,55.69016,48.589,149504,149504
05/26/2026 17:45:54,43,54,0,53,57,49,49,49,49,67,12.12,5.04,1.312,1.396,1.042,0.324,0.676000059,3.292,2.046,0,3.36800027,3.37200022,3.12000012,53,45,43.5,44.5,962,678,0,840,749,0,0,0,0,0,76.56,0,0,0,0,25,0,0,12.7,76.56,36.368412,3532,712,5050,3982,50.5,3.086325,0.54375,3525,129,40.4,0.150198758,0.54375,2861,70,33.6666679,0.0570776872,0.54375,2854,62,33.6666679,0.0412011929,0.54375,3426,87,40.4,0.09035665,0.54375,5050,1284,50.5,1.05262721,0.56875,2780,52,33.6666679,0.0321230851,0.56875,2707,34,33.6666679,0.0254450776,0.55,53.7500076,45.8750038,99.99819,512,-1,485.785156,454.25,31.5351563,9.511719,7609.43945,7618.951,0.126573458,0,0,0,0,0,0,0,0,0,0,31,481,600,1200,3000,49,1.03500009,1.30500007,0,5,15,45,2670,10451.9824,0,0,0,0,0,2,0,0,18.333,21.192,0.975,8367.1875,286.09375,0.00248217839,0,0,0,0,0,0,0,0,0,0.0169278178,0,0,0,56.53125,54,16376,7256,9119,55.69016,51.397,199680,849920
05/26/2026 17:45:56,43,53,0,53,57,49,49,49,49,67,12.12,5.04,1.31000006,1.39200008,1.042,0.324,0.676000059,3.288,2.046,0,3.37200022,3.37200022,3.12000012,53,45,43.5,44.5,961,673,0,837,750,0,0,0,0,0,68.75,1.56,7.81,12.5,4.69,26.56,3.12,3.12,16.02,68.75,36.81166,3364,705,4040,3980,40.4,3.11354852,0.5625,3158,156,33.6666679,0.175129116,0.5625,2966,102,33.6666679,0.102238141,0.5625,2918,110,33.6666679,0.09068589,0.5625,3124,136,33.6666679,0.134756133,0.5625,5050,1058,50.5,0.889067948,0.56875,2879,56,33.6666679,0.0474781655,0.56875,2776,43,33.6666679,0.03038917,0.56875,53.8750076,50.5000038,99.9982,512,-1,485.785156,454.25,31.5351563,9.511719,7609.43945,7618.951,0.102000453,0,0,0,0,0,0,0,0,0,0,31,481,600,1200,3000,49,1.03500009,1.30500007,0,5,16,45,2670,10451.9824,0,0,0,0,0,2,0,0,18.246,19.039,0.975,8367.1875,286.324219,0.01098308,0,0,0,0.0221825242,0,0,0,0,0,0.04273716,0,0,0,56.59375,54,16376,7256,9119,55.69016,52.64,49152,499712
05/26/2026 17:45:58,43,54,0,53,57,49,49,49,49,67,12.12,5.04,1.312,1.39200008,1.042,0.324,0.676000059,3.292,2.046,0,3.37200022,3.36800027,3.12000012,53,45,43.5,44.5,968,673,0,834,749,0,0,0,0,0,81.03,20.69,5.17,10.34,5.17,25.86,5.17,5.17,19.83,81.03,36.0894,3703,735,4040,4296,40.4,3.29407835,0.55,3679,176,40.4,0.174248412,0.55,3461,72,40.4,0.06904847,0.55,3621,74,40.4,0.05535956,0.55,3454,79,40.4,0.090152204,0.55,5050,1092,50.5,0.9047291,0.55,3459,47,40.4,0.042294506,0.55,2861,46,33.6666679,0.0315046832,0.55625,53.8750076,50.0000038,99.99819,512,-1,485.785156,454.25,31.5351563,9.511719,7609.43945,7618.951,0,0,0,0,0,0,0,0,0,0,0,31,481,600,1200,3000,49,1.04000008,1.30500007,0,5,16,45,2670,10451.9824,0,0,0,0,0,2,0,0,17.685,17.634,0.975,8367.1875,286.324219,0.0025472648,0,0,0,0,0,0,0,0,0,0.021707613,0,0,0,56.71875,56,16376,7256,9119,55.69016,50.455,99328,1049600
