,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1,/vram/data/2,/vram/data/3,/vram/load/1,/ram/data/0,/ram/data/1,/ram/load/0,/memory/dimm/1/temperature/0,/memory/dimm/1/temperature/1,/memory/dimm/1/temperature/2,/memory/dimm/1/temperature/3,/memory/dimm/1/temperature/4,/memory/dimm/1/temperature/5,/memory/dimm/1/timing/20,/memory/dimm/1/timing/21,/memory/dimm/1/timing/22,/memory/dimm/1/timing/23,/memory/dimm/1/timing/24,/memory/dimm/1/timing/25,/memory/dimm/1/timing/26,/memory/dimm/1/timing/27,/memory/dimm/1/timing/28,/memory/dimm/1/timing/29,/memory/dimm/1/timing/30,/memory/dimm/1/timing/31,/memory/dimm/1/timing/32,/memory/dimm/1/timing/33,/memory/dimm/1/data/50,/memory/dimm/3/temperature/0,/memory/dimm/3/temperature/1,/memory/dimm/3/temperature/2,/memory/dimm/3/temperature/3,/memory/dimm/3/temperature/4,/memory/dimm/3/temperature/5,/memory/dimm/3/timing/20,/memory/dimm/3/timing/21,/memory/dimm/3/timing/22,/memory/dimm/3/timing/23,/memory/dimm/3/timing/24,/memory/dimm/3/timing/25,/memory/dimm/3/timing/26,/memory/dimm/3/timing/27,/memory/dimm/3/timing/28,/memory/dimm/3/timing/29,/memory/dimm/3/timing/30,/memory/dimm/3/timing/31,/memory/dimm/3/timing/32,/memory/dimm/3/timing/33,/memory/dimm/3/data/50
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx","Memory Used","Memory Available","Memory","Memory Used","Memory Available","Memory","DIMM #1","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity","DIMM #3","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity"
05/26/2026 20:44:54,45,56,0,55,60,53,53,53,53,70,12.12,5.03,1.31000006,1.39200008,1.02200007,0.326,0.642,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,57,46.5,44,46.5,1001,746,0,847,762,0,0,0,0,0,46.97,16.67,9.09,7.58,16.67,59.09,13.64,4.55,21.78,59.09,38.9025841,3665,783,5050,1930,50.5,1.92323649,0.5375,4040,598,40.4,0.8844741,0.5375,3046,207,33.5,0.408369064,0.5375,2975,115,33.5,0.2256176,0.51875,3143,352,33.5,0.673187733,0.51875,5050,2848,50.5,2.266665,0.5125,3045,133,33.6666679,0.206540063,0.5125,2968,83,33.6666679,0.131999731,0.5125,57.5000076,52.8750038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,53,0.974000037,1.30500007,0,5,16,40,2670,10451.9824,999,1000,30,30,0,0,0,0,15.011,18.242,0.975,8997.5,350.8711,7.400737,0,0,0,0.125505626,0,0,0,0,0,0.5274012,0,0,0,50.1875,48,16376,7075,9300,56.7928543,62.237,699392,5.044941E+07,22.0827751,14.7979889,59.876133,10.0786591,4.802105,67.72945,39.25,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,38.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 20:44:56,45,56,0,55,60,56,56,56,56,73,12.12,5.03,1.31000006,1.39200008,1.052,0.342,0.642,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,66,46.5,44,46.5,1023,719,0,848,782,0,0,0,0,0,62.12,9.09,1.54,0,0,59.09,0,0,16.48,62.12,40.6468468,3903,903,5050,3095,50.5,3.229467,0.525,4016,486,40.4,0.8294907,0.525,3237,210,33.6666679,0.2999745,0.525,3063,96,33.6666679,0.136518851,0.525,3806,241,40.4,0.383473277,0.525,5050,2970,50.5,3.29140687,0.525,3539,61,40.4,0.08539307,0.525,3465,67,40.4,0.0629099,0.525,66.75001,56.6250038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,53,1.064,1.30500007,0,7,16,39,2670,10451.9824,1000,1000,30,30,0,1,0,0,15.975,17.489,0.975,8659.633,503.332031,1.08492088,0,0,0,1.53330755,0,0,0,0,0,1.089619,0,0,0,49.96875,48,16376,7413,8962,54.728096,45.807,2.698282E+09,99328,21.38021,15.5005531,57.9711723,9.659924,5.22084045,64.91551,39.25,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,39,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 20:44:58,47,56,0,56,61,60,60,60,60,77,12.0960007,5.03,1.30800009,1.39200008,1.06800008,0.33,0.642,3.28400016,2.046,0,3.36800027,3.364,3.11200023,67,46.5,44,46.5,1035,747,0,856,770,0,0,0,0,0,74.6,28.57,25.4,22.22,19.05,69.84,23.81,19.05,35.32,74.6,41.2005119,3895,1689,4020,3441,40.2,3.20316243,0.53125,4020,1453,40.2,1.689247,0.525,3367,1147,33.6666679,1.17514813,0.53125,3350,1065,33.5,0.972507536,0.53125,3350,1045,33.5,1.23814511,0.51875,4975,3558,49.75,3.34874582,0.54375,4040,1004,40.4,0.8335651,0.55,4040,799,40.4,0.7510872,0.55,66.75001,56.1250038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.069,1.30500007,0,20,18,39,2670,10451.9824,1001,999,30,30,0,1,0,0,16.43,19.28,0.975,9053.109,458.738281,2.13214421,0,0,0,1.86787653,0,0,0,0,0,3.29100037,0,0,0,49.875,48,16376,7020,9355,57.1310043,47.27,2.41274982E+09,7449600,22.5838356,14.2969284,61.234726,10.5860023,4.29476166,71.13884,39.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,39,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 20:45:00,48,56,0,57,62,64,64,64,64,81,12.0960007,5.03,1.31000006,1.39200008,1.01,0.34,0.642,3.28400016,2.046,0,3.364,3.364,3.11600018,64,47,44,46.5,1060,715,0,863,798,0,0,0,0,0,38.1,6.35,4.76,3.17,6.35,42.86,0,3.17,13.1,42.86,38.41876,3673,791,4040,1708,40.4,1.75364769,0.51875,4040,779,40.4,1.22615993,0.51875,3135,285,33.6666679,0.813453436,0.51875,3087,206,33.6666679,0.682607651,0.51875,3841,455,40.4,0.9962318,0.5625,5050,2610,50.5,1.88170218,0.525,3113,157,33.6666679,0.5378783,0.51875,3081,127,33.6666679,0.4200279,0.51875,64.37501,52.8750038,99.99748,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,53,0.974000037,1.30500007,0,6,16,41,2670,10451.9824,1000,1000,30,30,23,9,0,0,25.661,29.115,0.975,9072.715,464.988281,19.0642643,0,0,0,0.0152264507,0,0,0,0,0,0.03945127,0,0,0,50.5625,50,16376,7000,9375,57.2506561,74.009,7.524966E+07,15199232,22.6144218,14.2663422,61.3176575,10.6106148,4.270149,71.30423,39.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,39,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 20:45:02,49,56,0,58,63,66,66,66,66,80,12.12,5.03,1.31000006,1.39200008,1.034,0.34,0.642,3.28400016,2.046,0,3.36800027,3.364,3.11600018,62,46.5,44,46.5,1091,744,0,893,786,0,0,0,0,0,57.14,23.81,14.29,3.17,11.11,39.68,1.59,1.59,19.05,57.14,40.33491,4377,1234,5050,3318,50.5,3.00462174,0.50625,5050,1633,50.5,2.09512067,0.525,4040,862,40.4,1.17283535,0.525,4040,358,40.4,0.5406128,0.525,5050,720,50.5,1.16907787,0.525,5050,2527,50.5,2.80864573,0.55625,3367,235,33.6666679,0.3540383,0.55625,3367,219,33.6666679,0.294910043,0.55625,62.6250076,51.7500038,99.9975,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,53,0.965000033,1.30500007,0,2,16,39,2670,10451.9824,1000,1000,30,30,11,3,0,0,17.834,18.569,0.975,3127.51953,248.222656,0.5626838,0,0,0,0.00337606226,0,0,0,0,0,16.4030247,0,0,0,49.9375,48,16376,12957,3418,20.8746071,46.373,36849664,5299200,10.6295166,26.2512474,28.8213043,5.86984253,9.01092148,39.44584,39.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,39,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 20:45:04,50,56,0,58,64,63,63,63,63,78,12.0960007,5.03,1.30800009,1.39200008,0.838000059,0.320000023,0.642,3.28400016,2.046,0,3.36800027,3.364,3.11600018,60,46.5,44,46.5,1115,742,0,896,813,0,0,0,0,0,14.29,7.94,1.61,3.23,3.17,14.29,1.61,3.23,6.17,14.29,37.3021049,3585,349,4850,785,48.5,0.7840452,0.7125,3233,382,32.3333321,0.4846646,0.7125,3196,229,32.3333321,0.32354942,0.7125,3112,159,32.3333321,0.239246756,0.7125,3233,309,32.3333321,0.409049928,0.7125,4850,716,48.5,0.7702194,0.65625,3112,111,33.6666679,0.196250141,0.5625,3097,98,33.6666679,0.123996809,0.5625,61.7500076,51.0000038,99.99748,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,52,0.410000026,1.30500007,0,0,13,39,2670,10701.9883,1001,1000,30,30,1,1,0,0,16.802,16.976,0.975,2073.582,164.417969,1.11953437,0,0,0,0.007209431,0,0,0,0,0,3.13172913,0,0,0,49.90625,48,16376,13994,2381,14.5408344,49.26,3999744,449536,9.765034,27.11573,26.47731,4.901539,9.979225,32.93876,39.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,39,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 20:45:06,51,56,0,59,64,63,63,63,63,78,12.12,5.03,1.31000006,1.39200008,1.07,0.332000017,0.642,3.28400016,2.046,0,3.36800027,3.364,3.11600018,65,47,44,46.5,1146,714,0,891,824,0,0,0,0,0,45.31,23.44,23.08,13.85,18.46,67.19,10.77,9.38,26.43,67.19,38.1200752,4606,995,4850,1970,48.5,2.24646854,0.66875,4850,943,48.5,1.29153788,0.66875,4850,549,48.5,0.819785535,0.66875,4711,313,48.5,0.5462753,0.66875,4850,697,48.5,1.08774972,0.66875,4850,2975,48.5,3.40933537,0.66875,4723,307,48.5,0.454984516,0.66875,3168,208,32.3333321,0.35502395,0.66875,62.3750076,58.0000038,99.9975,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,53,1.04000008,1.30500007,0,7,16,39,945,5001.986,999,999,30,30,7,3,0,0,12.748,18.42,0.93,1384.15234,135.492188,1.18067741,0,0,0,0.0217870791,0,0,0,0,0,3.04524946,0,0,0,49.53125,48,16376,14683,1692,10.3344355,52.123,6699008,7349248,9.374687,27.5060768,25.4189072,5.12521362,9.75555,34.44187,39.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,39,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 20:45:08,52,56,0,60,65,67,67,67,67,82,12.12,5.03,1.31000006,1.39200008,0.996000051,0.334000021,0.642,3.28400016,2.046,0,3.36800027,3.364,3.11600018,63,46.5,44,46.5,1159,745,0,903,816,0,0,0,0,0,43.75,25,21.88,23.44,25,53.12,23.44,21.88,29.69,53.12,42.505558,4454,948,5050,1859,50.5,2.18692636,0.55,5050,998,50.5,1.568045,0.55,3805,552,40.4,1.1028837,0.55,3634,401,40.4,0.9227714,0.55,4040,768,40.4,1.32479942,0.53125,5050,2280,50.5,2.741856,0.50625,4511,375,50.5,0.6924318,0.53125,4493,355,50.5,0.4921358,0.525,63.5000076,50.7500038,99.99748,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.05500007,1.30500007,0,15,16,38,510,5001.986,1000,1000,30,30,10,3,0,0,12.546,17.462,0.93,1513.1875,136.539063,4.464439,0,0,0,0.04289639,0,0,0,0,0,2.648118,0,0,0,49.1875,46,16376,14554,1821,11.1217451,38.089,3.844915E+07,7049216,9.424976,27.4557877,25.55526,5.197773,9.682991,34.92948,39.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,39,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 20:45:10,53,56,0,61,66,67,67,67,67,81,12.0960007,5.03,1.31000006,1.39200008,0.968000054,0.322000027,0.642,3.28400016,2.046,0,3.364,3.36800027,3.11600018,62,46.5,44,46.5,1192,742,0,928,847,0,0,0,0,0,48.44,34.38,21.88,15.62,32.81,42.19,15.62,6.25,27.15,48.44,43.47597,4402,924,5025,1846,50.25,2.044051,0.53125,5021,964,50.25,1.43742943,0.51875,4725,668,50.25,1.11730587,0.51875,3113,499,33.5,0.890014231,0.51875,4868,788,50.25,1.23242438,0.51875,5050,1733,50.5,2.15306973,0.51875,3668,450,40,0.7133922,0.54375,3746,445,40,0.5414645,0.54375,62.7500076,57.5000038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,53,1.04500008,1.30500007,0,15,16,39,2670,10701.9883,1001,1001,30,30,9,5,0,1,17.284,18.978,0.975,1684.5,140.429688,3.52315784,0,0,0,0.0380958766,0,0,0,0,0,1.75001717,0,0,0,49.5,48,16376,14383,1992,12.1647625,47.305,8749056,3999744,9.479916,27.4008484,25.7042236,5.11047363,9.77029,34.34282,39.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,39,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
