,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1,/vram/data/2,/vram/data/3,/vram/load/1,/ram/data/0,/ram/data/1,/ram/load/0,/memory/dimm/1/temperature/0,/memory/dimm/1/temperature/1,/memory/dimm/1/temperature/2,/memory/dimm/1/temperature/3,/memory/dimm/1/temperature/4,/memory/dimm/1/temperature/5,/memory/dimm/1/timing/20,/memory/dimm/1/timing/21,/memory/dimm/1/timing/22,/memory/dimm/1/timing/23,/memory/dimm/1/timing/24,/memory/dimm/1/timing/25,/memory/dimm/1/timing/26,/memory/dimm/1/timing/27,/memory/dimm/1/timing/28,/memory/dimm/1/timing/29,/memory/dimm/1/timing/30,/memory/dimm/1/timing/31,/memory/dimm/1/timing/32,/memory/dimm/1/timing/33,/memory/dimm/1/data/50,/memory/dimm/3/temperature/0,/memory/dimm/3/temperature/1,/memory/dimm/3/temperature/2,/memory/dimm/3/temperature/3,/memory/dimm/3/temperature/4,/memory/dimm/3/temperature/5,/memory/dimm/3/timing/20,/memory/dimm/3/timing/21,/memory/dimm/3/timing/22,/memory/dimm/3/timing/23,/memory/dimm/3/timing/24,/memory/dimm/3/timing/25,/memory/dimm/3/timing/26,/memory/dimm/3/timing/27,/memory/dimm/3/timing/28,/memory/dimm/3/timing/29,/memory/dimm/3/timing/30,/memory/dimm/3/timing/31,/memory/dimm/3/timing/32,/memory/dimm/3/timing/33,/memory/dimm/3/data/50
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx","Memory Used","Memory Available","Memory","Memory Used","Memory Available","Memory","DIMM #1","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity","DIMM #3","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity"
05/26/2026 21:43:29,58,62,0,66,72,67,67,67,67,81,12.0960007,5.04,1.31000006,1.39200008,1.05800009,0.352000028,0.616000056,3.292,2.046,0,3.37200022,3.37200022,3.12000012,63,49,49.5,48.5,1314,796,0,999,919,0,0,0,0,0,46.15,10.77,4.62,1.54,13.85,61.54,4.62,3.08,18.27,61.54,42.33846,3650,1035,4040,2378,40.4,2.6085906,0.54375,3367,973,33.6666679,1.60413408,0.54375,3225,425,33.6666679,1.102936,0.54375,3185,303,33.6666679,0.9750244,0.54375,4025,665,40.4,1.33358014,0.54375,5050,3170,50.5,3.612064,0.54375,3138,204,33.6666679,0.8551445,0.5375,3172,161,33.6666679,0.6732613,0.5375,63.2500076,57.1250038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.05000007,1.30500007,0,8,16,46,2670,10451.9824,998,999,30,30,39,32,0,1,34.261,32.003,0.975,12416.0234,355.546875,35.61596,0,0,0,0.265877873,0,0,0,0,0,0,0,0,0,55.3125,58,16376,3658,12717,77.6580658,96.955,119849984,31399936,26.7063332,10.1744308,72.4126358,8.986706,5.894058,60.3914261,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 21:43:31,58,62,0,66,72,67,67,67,67,81,12.0960007,5.03,1.31000006,1.396,1.05800009,0.338000029,0.616000056,3.292,2.046,0,3.37200022,3.37200022,3.12000012,63,49,49.5,48.5,1293,795,0,1009,944,0,0,0,0,0,37.5,26.56,12.5,4.69,12.5,70.31,4.76,3.12,21.49,70.31,42.49914,3768,1002,4000,1822,40,2.077587,0.525,5025,1000,50.25,1.58292532,0.53125,4925,458,50.5,1.10501933,0.525,3166,252,33.6666679,0.916466355,0.525,3367,646,33.6666679,1.29122722,0.525,3367,3505,33.6666679,3.92594433,0.525,3163,186,33.6666679,0.8285399,0.525,3130,147,33.6666679,0.6374133,0.525,63.5000076,59.8750038,99.99748,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.074,1.30500007,0,14,16,46,2670,10451.9824,1001,1002,30,30,40,32,0,1,35.114,32.436,0.975,12416.0234,355.546875,35.2341652,0,0,0,0.26988253,0,0,0,0,0,0,0,0,0,55.4375,56,16376,3658,12717,77.6580658,98.365,101949440,22649856,26.70702,10.1737442,72.4145,8.983997,5.89676666,60.37323,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 21:43:33,58,62,0,66,72,67,67,67,67,81,12.0960007,5.03,1.31000006,1.39200008,1.052,0.342,0.616000056,3.292,2.046,0,3.37200022,3.36800027,3.11600018,63,49,49.5,48.5,1308,795,0,999,920,0,0,0,0,0,56.25,18.75,12.5,4.69,10.94,46.88,3.12,3.08,19.53,56.25,42.3466377,3634,976,4040,3186,40.4,3.40629268,0.5375,5050,930,50.5,1.53006339,0.5375,3200,409,33.6666679,1.075355,0.5125,3162,266,33.6666679,0.9144668,0.5125,3312,563,33.6666679,1.22524786,0.5125,4040,2182,40.4,2.66303349,0.5125,3133,157,33.6666679,0.7935883,0.5125,3137,119,33.6666679,0.6280804,0.5125,63.5000076,52.2500038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.069,1.30500007,0,15,16,46,2670,10451.9824,1001,1000,30,30,39,32,0,0,34.85,40.07,0.975,12416.0234,355.546875,35.0162354,0,0,0,0.269594669,0,0,0,0,0,0,0,0,0,55.34375,58,16376,3658,12717,77.6580658,99.48,101849088,22249472,26.6776848,10.2030792,72.33496,8.964138,5.916626,60.23977,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 21:43:35,58,62,0,66,72,67,67,67,67,81,12.12,5.04,1.31000006,1.39200008,1.056,0.34,0.616000056,3.288,2.046,0,3.37200022,3.37200022,3.12000012,63,49,49.5,48.5,1300,796,0,1000,943,0,0,0,0,0,75.38,18.46,3.08,3.08,12.31,16.92,3.08,3.08,16.92,75.38,41.9503479,4274,921,5050,3889,50.5,4.051442,0.525,5050,838,50.5,1.4296819,0.525,3826,376,40.4,1.0378077,0.525,3818,249,40.4,0.876256645,0.525,3936,525,40.4,1.16374278,0.525,5050,1229,50.5,1.74173665,0.53125,3719,156,40.4,0.7848919,0.55625,3739,108,40.4,0.623053849,0.55625,63.3750076,52.2500038,99.99748,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,53,1,1.30500007,0,13,16,46,2670,10451.9824,999,998,30,30,39,32,0,0,34.026,29.536,0.975,12416.0234,355.546875,35.2079735,0,0,0,0.2696182,0,0,0,0,0,0,0,0,0,55.3125,56,16376,3658,12717,77.6580658,97.308,1.491497E+08,23799808,26.7026787,10.1780853,72.4027252,8.987095,5.893669,60.39404,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 21:43:37,58,62,0,66,72,67,67,67,67,81,12.0960007,5.03,1.31000006,1.39200008,1.052,0.34,0.616000056,3.288,2.046,0,3.36800027,3.36800027,3.11600018,63,49,49.5,48.5,1315,796,0,985,943,0,0,0,0,0,71.88,26.56,12.31,3.08,13.85,34.38,9.23,6.15,22.18,71.88,42.97082,4039,1109,5050,3741,50.5,3.89373422,0.55,4040,1131,40.4,1.68907857,0.55,3806,481,40.4,1.148559,0.55,3754,325,40.4,0.9758814,0.55,3804,652,40.4,1.31389117,0.55,4040,1825,40.4,2.21749735,0.55,3775,253,40.4,0.879847,0.55,4040,467,40.4,0.94137615,0.55,63.5000076,58.0000038,99.9975,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,53,1.04500008,1.30500007,0,7,16,46,2775,10451.9824,1000,999,30,30,40,31,0,0,38.847,36.423,1.04,12416.0234,355.546875,34.8042068,0,0,0,0.261445045,0,0,0,0,0,0,0,0,0,55.65625,56,16376,3658,12717,77.6580658,99.113,123348992,31649792,26.5629272,10.3178368,72.0237961,8.768879,6.111885,58.9276161,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 21:43:39,58,62,0,66,72,67,67,67,67,81,12.0960007,5.03,1.31000006,1.39200008,1.05800009,0.346000016,0.616000056,3.288,2.046,0,3.37200022,3.37200022,3.12000012,63,49,49.5,48.5,1311,796,0,1006,943,0,0,0,0,0,29.23,9.23,9.23,1.54,9.23,78.46,1.54,1.54,17.5,78.46,42.0411,3957,956,4002,1297,40.4,1.74593413,0.53125,4887,854,50.5,1.49800611,0.53125,3739,381,40.4,1.06399274,0.53125,3734,233,40.4,0.91819936,0.53125,3751,594,40.4,1.259269,0.53125,3960,3982,39.6,4.2560463,0.53125,3002,160,33,0.8229564,0.53125,4583,144,49.5,0.591841459,0.53125,63.7500076,59.0000038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.069,1.30500007,0,13,16,47,2835,10451.9824,1000,1001,30,30,40,31,0,0,42.476,38.461,1.075,12416.0234,355.546875,34.42282,0,0,0,0.2675756,0,0,0,0,0,0,0,0,0,56.15625,56,16376,3658,12717,77.6580658,117.846,102749184,31849472,26.533886,10.3468781,71.94505,8.740025,6.14073944,58.7337074,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 21:43:41,58,62,0,66,72,67,67,67,67,81,12.12,5.03,1.31000006,1.39200008,1.062,0.344,0.616000056,3.288,2.046,0,3.37200022,3.36800027,3.11600018,63,49,49.5,48.5,1305,796,0,986,919,0,0,0,0,0,36.92,21.54,10.77,3.08,15.38,83.08,0,0,21.35,83.08,42.2225952,3864,961,5050,1529,50.5,1.92579627,0.51875,3925,889,40.4,1.51284993,0.51875,3749,428,40.4,1.10974526,0.51875,3708,252,40.4,0.9252495,0.51875,3116,592,33.6666679,1.2669282,0.5375,4040,3740,40.4,4.02980137,0.5375,4398,158,48.5,0.807457745,0.55,2928,101,32.3333321,0.6166237,0.55,63.6250076,52.2500038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.05500007,1.30500007,0,6,16,47,2835,10451.9824,999,1002,30,30,40,32,0,0,42.309,35.732,1.075,12416.0234,355.546875,34.5865746,0,0,0,0.27006045,0,0,0,0,0,0,0,0,0,56.375,56,16376,3658,12717,77.6580658,118.643,100749312,24849408,26.5331039,10.34766,71.94293,8.739468,6.14129639,58.7299652,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 21:43:43,58,62,0,66,72,67,67,67,67,81,12.0960007,5.04,1.31000006,1.39200008,1.052,0.338000029,0.616000056,3.288,2.046,0,3.37200022,3.37200022,3.12000012,63,49,49.5,48.5,1297,796,0,1005,943,0,0,0,0,0,37.5,14.06,14.06,10.94,20.31,59.38,12.5,3.12,21.48,59.38,42.4101753,3909,975,5050,2142,50.5,2.46577644,0.55,3352,928,33.6666679,1.540497,0.55,3774,415,40.4,1.0869987,0.55,3821,298,40.4,0.968649,0.5375,3788,601,40.4,1.252538,0.5375,4040,3120,40.4,3.47821856,0.5375,3713,158,40.4,0.811811268,0.5375,3737,137,40.4,0.616755962,0.5375,63.5000076,57.5000038,99.9975,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,0.995000064,1.30500007,0,13,16,47,2745,10451.9824,1000,1000,30,30,40,32,0,0,38.572,31.652,1.015,12416.0234,355.546875,35.05307,0,0,0,0.251820832,0,0,0,0,0,0,0,0,0,56.03125,56,16376,3658,12717,77.6580658,111.087,134799360,2.232494E+08,26.5605545,10.3202095,72.0173645,8.765636,6.11512756,58.9058228,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,42.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 21:43:45,58,62,0,66,72,67,67,67,67,81,12.12,5.04,1.31000006,1.39200008,1.052,0.338000029,0.616000056,3.292,2.046,0,3.37200022,3.37200022,3.12000012,63,49,49.5,48.5,1291,796,0,1006,919,0,0,0,0,0,72.31,13.85,4.69,4.69,9.23,28.12,1.54,0,16.8,72.31,41.5087166,4283,924,5050,3458,50.5,3.651759,0.53125,5050,845,50.5,1.42713308,0.53125,3864,401,40.4,1.05284965,0.53125,3826,217,40.4,0.8512132,0.53125,3887,552,40.4,1.17988956,0.54375,4040,1673,40.4,2.09508967,0.54375,4749,145,50.5,0.770549834,0.54375,3801,99,40.4,0.4867133,0.54375,63.2500076,52.2500038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.04500008,1.30500007,0,10,16,46,2670,10451.9824,1000,1001,30,30,40,32,0,0,35.481,30.018,0.975,12416.0234,355.546875,35.2662,0,0,0,0.238615483,0,0,0,0,0,0,0,0,0,55.5625,58,16376,3658,12717,77.6580658,102.653,115599360,32549888,26.5304947,10.3502693,71.93586,8.738903,6.141861,58.7261734,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,42.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
